issue_id,severity,area,sku,flavor,issue,detail
ISS-0001,Critical,PO,PPM-BM,Buttermilk,Line is marked as excluded but is still counted in the PO total,"PO 43026 — 10,000 u / $4,340.00 — note: ""leaving off this PO"""
ISS-0002,Critical,PO,PPM-C,Chocolate,Line is marked as excluded but is still counted in the PO total,"PO 43026 — 10,000 u / $4,340.00 — note: ""leaving off this PO"""
ISS-0003,Critical,PO,PPM-CS,Cinnamon Swirl,Line is marked as excluded but is still counted in the PO total,"PO 43026 — 10,000 u / $4,340.00 — note: ""leaving off this PO"""
ISS-0004,Critical,PO,PPM-PS,Pumpkin Spice,Line is marked as excluded but is still counted in the PO total,"PO 43026 — 10,000 u / $4,340.00 — note: ""leaving off this PO"""
ISS-0005,Critical,PO,PPSS-BB,Brownie Batter,Line is marked as excluded but is still counted in the PO total,"PO 42826 — 25,000 u / $1,872.50 — note: ""moved quantity to other flavors"""
ISS-0006,Critical,PO,PPSS-CM,Cafe Mocha,Line is marked as excluded but is still counted in the PO total,"PO 42826 — 25,000 u / $1,872.50 — note: ""moved quantity to other flavors"""
ISS-0007,Critical,PO,PPSS-SC,Salted Caramel,Line is marked as excluded but is still counted in the PO total,"PO 42826 — 25,000 u / $1,872.50 — note: ""moved quantity to other flavors"""
ISS-0008,Critical,PO,PPSS-VC,Vanilla Cone,Line is marked as excluded but is still counted in the PO total,"PO 42826 — 25,000 u / $1,872.50 — note: ""moved quantity to other flavors"""
ISS-0009,High,Artwork,DR-SP,Daily Recharge Stick,Stick pack has no eyemark colour specified,bagger photo-eye cannot register without it
ISS-0010,High,Colour,PP-BF-21,Bananas Foster Whey Protein Pouch,Invalid hex value — cannot be rendered,slot 3: 'HEX E613B24'
ISS-0011,High,Colour,PP-CM-02,Chocolate Mousse Whey Protein Pouch,Invalid hex value — cannot be rendered,slot 1: 'HEX 4E2CID'
ISS-0012,High,Colour,PP-RC-12,Raspberry Cheesecake Whey Protein Pouch,Invalid hex value — cannot be rendered,slot 3: 'HEX F43BF'
ISS-0013,High,Colour,PSP-BF,Bananas Foster Whey Protein Stick,Invalid hex value — cannot be rendered,slot 3: 'HEX E613B24'
