sku,slot,pms,hex,hex_valid,pms_valid
PP-AP-01,1,PMS 361 C,HEX 36AD2D,TRUE,TRUE
PP-AP-01,2,PMS 367 C,HEX 9FD560,TRUE,TRUE
PP-AP-01,3,PMS 9121 C,HEX EDEDB2,TRUE,TRUE
PP-CM-02,1,PMS 4625 C,HEX 4E2CID,FALSE,TRUE
PP-CM-02,2,PMS 7516 C,HEX 98552A,TRUE,TRUE
PP-CM-02,3,PMS 727 C,HEX DAB38D,TRUE,TRUE
PP-CPB-17,1,PMS 4695 C,HEX 5C3327,TRUE,TRUE
PP-CPB-17,2,PMS 715 C,HEX F88D2A,TRUE,TRUE
PP-CPB-17,3,PMS 7506 C,HEX F2DAB2,TRUE,TRUE
PP-CNC-03,1,PMS 9081 C,HEX DED8D4,TRUE,TRUE
PP-CNC-03,2,PMS 7516 C,HEX 9B552B,TRUE,TRUE
PP-CNC-03,3,PMS 4625 C,HEX 502C1E,TRUE,TRUE
PP-CC-04,1,PMS 298 C,HEX 3CB4E5,TRUE,TRUE
PP-CC-04,2,PMS 285 C,HEX 0071CE,TRUE,TRUE
PP-CC-04,3,PMS 648 C,HEX 002D5D,TRUE,TRUE
PP-GD-05,1,PMS 177 C,HEX FF8189,TRUE,TRUE
PP-GD-05,2,PMS 9160 C,HEX F4E3BF,TRUE,TRUE
PP-GD-05,3,PMS 4625 C,HEX 502C1E,TRUE,TRUE
PP-H-06,1,PMS --,HEX FFFFFF,TRUE,FALSE
PP-H-06,2,PMS 721 C,HEX DEA36D,TRUE,TRUE
PP-H-06,3,PMS 4625 C,HEX 502C1E,TRUE,TRUE
PP-IM-07,1,PMS 7567 C,HEX 895334,TRUE,TRUE
PP-IM-07,2,PMS 728 C,HEX 9FD560,TRUE,TRUE
PP-IM-07,3,PNS 9160 C,HEX EDEDB2,TRUE,FALSE
PP-MD-08,1,PMS 1685 C,HEX 863A20,TRUE,TRUE
PP-MD-08,2,PMS 7565 C,HEX CB792E,TRUE,TRUE
PP-MD-08,3,PMS 9160 C,HEX F4E3BF,TRUE,TRUE
PP-N-09,1,PMS 1767 C,HEX 5C3327,TRUE,TRUE
PP-N-09,2,CMYK 3 1 17 0,HEX F6F4DA,TRUE,FALSE
PP-N-09,3,PMS 4625 C,HEX 502C1E,TRUE,TRUE
PP-OC-10,1,PMS 1495 C,HX FF9015,TRUE,TRUE
PP-OC-10,2,PMS 123 C,HEX FFC62D,TRUE,TRUE
PP-OC-10,3,PMS --,HEX FFFFFF,TRUE,FALSE
PP-PC-11,1,PMS 171 C,HEX FF5C35,TRUE,TRUE
PP-PC-11,2,PMS 135 C,HEX FFC557,TRUE,TRUE
PP-PC-11,3,PMS 9201 C,HEX 502C1E,TRUE,TRUE
PP-RC-12,1,PMS 676 C,HEX 951257,TRUE,TRUE
PP-RC-12,2,PMS 231 C,HEX E81F76,TRUE,TRUE
PP-RC-12,3,PMS 9160 C,HEX F43BF,FALSE,TRUE
PP-SD-13,1,PMS 7412 C,HEX D48232,TRUE,TRUE
PP-SD-13,2,PMS 1225 C,HEX FFC653,TRUE,TRUE
PP-SD-13,3,PMS 7401 C,HEX F6DFA4,TRUE,TRUE
PP-SS-14,1,PMS 186,HEX CE0E2D,TRUE,TRUE
PP-SS-14,2,PMS 177 C,HEX FF8189,TRUE,TRUE
PP-SS-14,3,PMS 9181 C,HEX F5E1C8,TRUE,TRUE
PP-VB-15,1,PMS 638 C,HEX 00ACD8,TRUE,TRUE
PP-VB-15,2,PMS 304 C,HEX 96DAEA,TRUE,TRUE
PP-VB-15,3,PMS 9224 U,HEX FBEADA,TRUE,TRUE
PP-PA-30,1,PMS 7650 C,HEX 722455,TRUE,TRUE
PP-PA-30,2,PMS 673 C,HEX D484B6,TRUE,TRUE
PP-PA-30,3,PMS --,HEX FFFFFF,TRUE,FALSE
PP-PS-16,1,PMS 158 C,HEX EE7623,TRUE,TRUE
PP-PS-16,2,PMS 7580 C,HEX C25131,TRUE,TRUE
PP-PS-16,3,PMS 7506 C,HEX F2DAB2,TRUE,TRUE
PP-SC-18,1,PMS 9224 U,HEX FBEADA,TRUE,TRUE
PP-SC-18,2,PMS 708 C,HEX F48E9F,TRUE,TRUE
PP-SC-18,3,PMS 7419 C,HEX AC505D,TRUE,TRUE
PP-FC-19,1,PMS 485 C,HEX E8332A,TRUE,TRUE
PP-FC-19,2,PMS 106 C,HEX F5E252,TRUE,TRUE
PP-FC-19,3,PMS --,HEX FFFFFF,TRUE,FALSE
PP-MC-20,1,PMS 351 C,HEX 98D2B3,TRUE,TRUE
PP-MC-20,2,PMS 483 C,HEX 602C25,TRUE,TRUE
PP-MC-20,3,PMS Black C,HEX 000000,TRUE,TRUE
PP-BF-21,1,PMS 113 C,HEX F8DD5C,TRUE,TRUE
PP-BF-21,2,CMYK 1 0 26 0,HEX FEF9CA,TRUE,FALSE
PP-BF-21,3,PMS 469 C,HEX E613B24,FALSE,TRUE
PP-BD-22,1,PMS 9224 C,HEX F8EAD9,TRUE,TRUE
PP-BD-22,2,PMS 806 C,HEX FF41B2,TRUE,TRUE
PP-BD-22,3,PMS 2727 C,HEX 247DE3,TRUE,TRUE
PP-BLM-23,1,PMS 2766 C,HEX 0F1B4D,TRUE,TRUE
PP-BLM-23,2,PMS 660 C,HEX 397DC9,TRUE,TRUE
PP-BLM-23,3,PMS 290 C,HEX B6D7EB,TRUE,TRUE
PP-CRL-24,1,PMS 7628 C,HEX 9F2E32,TRUE,TRUE
PP-CRL-24,2,PMS 7631 C,HEX 552E2E,TRUE,TRUE
PP-CRL-24,3,PMS 9184 C,HEX EDE3CF,TRUE,TRUE
PP-DCH-25,1,PMS 476 C,HEX 4E352B,TRUE,TRUE
PP-DCH-25,2,PMS 7566 C,HEX 945631,TRUE,TRUE
PP-DCH-25,3,PMS 727 C,HEX D8B48F,TRUE,TRUE
PP-KLP-26,1,PMS 354 C,HEX 00AE44,TRUE,TRUE
PP-KLP-26,2,PMS 375 C,HEX 91D500,TRUE,TRUE
PP-KLP-26,3,PMS 9120 C,HEX EEEDB6,TRUE,TRUE
PP-LCK-27,1,PMS 107 C,HEX FBE020,TRUE,TRUE
PP-LCK-27,2,PMS --,HEX FFFFFF,TRUE,FALSE
PP-LCK-27,3,PMS 7554,HEX 4A3C2A,TRUE,TRUE
PP-RDV-28,1,PMS 186 C,HEX D01F39,TRUE,TRUE
PP-RDV-28,2,PMS 188 C,HEX 722031,TRUE,TRUE
PP-RDV-28,3,PMS --,HEX FFFFFF,TRUE,FALSE
PP-SLC-29,1,PMS 7516 C,HEX 945631,TRUE,TRUE
PP-SLC-29,2,PMS 7570 C,HEX D38337,TRUE,TRUE
PP-SLC-29,3,PMS 7506 C,HEX EDD4AA,TRUE,TRUE
PSP-AP,1,PMS 361 C,HEX 36AD2D,TRUE,TRUE
PSP-AP,2,PMS 367 C,HEX 9FD560,TRUE,TRUE
PSP-AP,3,PMS 9121 C,HEX EDEDB2,TRUE,TRUE
PSP-CM,1,PMS 4625 C,HEX 4E2CID,FALSE,TRUE
PSP-CM,2,PMS 7516 C,HEX 98552A,TRUE,TRUE
PSP-CM,3,PMS 727 C,HEX DAB38D,TRUE,TRUE
PSP-CPB,1,PMS 4695 C,HEX 5C3327,TRUE,TRUE
PSP-CPB,2,PMS 715 C,HEX F88D2A,TRUE,TRUE
PSP-CPB,3,PMS 7506 C,HEX F2DAB2,TRUE,TRUE
PSP-CC,1,PMS 9081 C,HEX DED8D4,TRUE,TRUE
PSP-CC,2,PMS 7516 C,HEX 9B552B,TRUE,TRUE
PSP-CC,3,PMS 4625 C,HEX 502C1E,TRUE,TRUE
PSP-CCR,1,PMS 298 C,HEX 3CB4E5,TRUE,TRUE
PSP-CCR,2,PMS 285 C,HEX 0071CE,TRUE,TRUE
PSP-CCR,3,PMS 648 C,HEX 002D5D,TRUE,TRUE
PSP-FC,1,PMS 485 C,HEX E8332A,TRUE,TRUE
PSP-FC,2,PMS 106 C,HEX F5E252,TRUE,TRUE
PSP-FC,3,PMS --,HEX FFFFFF,TRUE,FALSE
PSP-GD,1,PMS 177 C,HEX FF8189,TRUE,TRUE
PSP-GD,2,PMS 9160 C,HEX F4E3BF,TRUE,TRUE
PSP-GD,3,PMS 4625 C,HEX 502C1E,TRUE,TRUE
PSP-HO,1,PMS --,HEX FFFFFF,TRUE,FALSE
PSP-HO,2,PMS 721 C,HEX DEA36D,TRUE,TRUE
PSP-HO,3,PMS 4625 C,HEX 502C1E,TRUE,TRUE
PSP-IM,1,PMS 7567 C,HEX 895334,TRUE,TRUE
PSP-IM,2,PMS 728 C,HEX 9FD560,TRUE,TRUE
PSP-IM,3,PNS 9160 C,HEX EDEDB2,TRUE,FALSE
PSP-MD,1,PMS 1685 C,HEX 863A20,TRUE,TRUE
PSP-MD,2,PMS 7565 C,HEX CB792E,TRUE,TRUE
PSP-MD,3,PMS 9160 C,HEX F4E3BF,TRUE,TRUE
PSP-MC,1,PMS 351 C,HEX 98D2B3,TRUE,TRUE
PSP-MC,2,PMS 483 C,HEX 602C25,TRUE,TRUE
PSP-MC,3,PMS Black C,HEX 000000,TRUE,TRUE
PSP-NE,1,PMS 1767 C,HEX 5C3327,TRUE,TRUE
PSP-NE,2,CMYK 3 1 17 0,HEX F6F4DA,TRUE,FALSE
PSP-NE,3,PMS 4625 C,HEX 502C1E,TRUE,TRUE
PSP-OC,1,PMS 1495 C,HX FF9015,TRUE,TRUE
PSP-OC,2,PMS 123 C,HEX FFC62D,TRUE,TRUE
PSP-OC,3,PMS --,HEX FFFFFF,TRUE,FALSE
PSP-PC,1,PMS 171 C,HEX FF5C35,TRUE,TRUE
PSP-PC,2,PMS 135 C,HEX FFC557,TRUE,TRUE
PSP-PC,3,PMS 9201 C,HEX 502C1E,TRUE,TRUE
PSP-PS,1,PMS 158 C,HEX EE7623,TRUE,TRUE
PSP-PS,2,PMS 7580 C,HEX C25131,TRUE,TRUE
PSP-PS,3,PMS 7506 C,HEX F2DAB2,TRUE,TRUE
PSP-RC,1,PMS 676 C,HEX 951257,TRUE,TRUE
PSP-RC,2,PMS 231 C,HEX E81F76,TRUE,TRUE
PSP-RC,3,PMS 9160 C,HEX F43BF,FALSE,TRUE
PSP-SD,1,PMS 7412 C,HEX D48232,TRUE,TRUE
PSP-SD,2,PMS 1225 C,HEX FFC653,TRUE,TRUE
PSP-SD,3,PMS 7401 C,HEX F6DFA4,TRUE,TRUE
PSP-SS,1,PMS 186,HEX CE0E2D,TRUE,TRUE
PSP-SS,2,PMS 177 C,HEX FF8189,TRUE,TRUE
PSP-SS,3,PMS 9181 C,HEX F5E1C8,TRUE,TRUE
PSP-SC,1,PMS 9224 U,HEX FBEADA,TRUE,TRUE
PSP-SC,2,PMS 708 C,HEX F48E9F,TRUE,TRUE
PSP-SC,3,PMS 7419 C,HEX AC505D,TRUE,TRUE
PSP-VB,1,PMS 638 C,HEX 00ACD8,TRUE,TRUE
PSP-VB,2,PMS 304 C,HEX 96DAEA,TRUE,TRUE
PSP-VB,3,PMS 9224 U,HEX FBEADA,TRUE,TRUE
PSP-PA,1,PMS 7650 C,HEX 722455,TRUE,TRUE
PSP-PA,2,PMS 673 C,HEX D484B6,TRUE,TRUE
PSP-PA,3,PMS --,HEX FFFFFF,TRUE,FALSE
PSP-BF,1,PMS 113 C,HEX F8DD5C,TRUE,TRUE
PSP-BF,2,CMYK 1 0 26 0,HEX FEF9CA,TRUE,FALSE
PSP-BF,3,PMS 469 C,HEX E613B24,FALSE,TRUE
PSP-BD,1,PMS 9224 C,HEX F8EAD9,TRUE,TRUE
PSP-BD,2,PMS 806 C,HEX FF41B2,TRUE,TRUE
PSP-BD,3,PMS 2727 C,HEX 247DE3,TRUE,TRUE
PSP-BM,1,PMS 2766 C,HEX 0F1B4D,TRUE,TRUE
PSP-BM,2,PMS 660 C,HEX 397DC9,TRUE,TRUE
PSP-BM,3,PMS 290 C,HEX B6D7EB,TRUE,TRUE
PSP-CRL,1,PMS 7628 C,HEX 9F2E32,TRUE,TRUE
PSP-CRL,2,PMS 7631 C,HEX 552E2E,TRUE,TRUE
PSP-CRL,3,PMS 9184 C,HEX EDE3CF,TRUE,TRUE
PSP-DC,1,PMS 476 C,HEX 4E352B,TRUE,TRUE
PSP-DC,2,PMS 7566 C,HEX 945631,TRUE,TRUE
PSP-DC,3,PMS 727 C,HEX D8B48F,TRUE,TRUE
PSP-KL,1,PMS 354 C,HEX 00AE44,TRUE,TRUE
PSP-KL,2,PMS 375 C,HEX 91D500,TRUE,TRUE
