po_number,line_no,sku,description,flavor,spec_id,qty,unit_cost,ext_cost,excluded,exclusion_note,line_status,expected_date,qty_received,date_received,qc_status,location
42826,1,PSP-AP,Large WHEY PROTEIN Stick Film,Apple Pie,SPEC-STICK-LG,60000,0.0749,4494,FALSE,,Ordered,,,,,
42826,2,PSP-CM,Large WHEY PROTEIN Stick Film,Chocolate Mousse,SPEC-STICK-LG,80000,0.0749,5992,FALSE,,Ordered,,,,,
42826,3,PSP-CPB,Large WHEY PROTEIN Stick Film,Chocolate Peanut Butter,SPEC-STICK-LG,57100,0.0749,4276.79,FALSE,,Ordered,,,,,
42826,4,PSP-CC,Large WHEY PROTEIN Stick Film,Coconut Cream,SPEC-STICK-LG,57000,0.0749,4269.3,FALSE,,Ordered,,,,,
42826,5,PSP-CCR,Large WHEY PROTEIN Stick Film,Cookie Crumble,SPEC-STICK-LG,55000,0.0749,4119.5,FALSE,,Ordered,,,,,
42826,6,PSP-FC,Large WHEY PROTEIN Stick Film,Fruity Cereal,SPEC-STICK-LG,55000,0.0749,4119.5,FALSE,,Ordered,,,,,
42826,7,PSP-GD,Large WHEY PROTEIN Stick Film,Glazed Donut,SPEC-STICK-LG,80000,0.0749,5992,FALSE,,Ordered,,,,,
42826,8,PSP-HO,Large WHEY PROTEIN Stick Film,Horchata,SPEC-STICK-LG,55000,0.0749,4119.5,FALSE,,Ordered,,,,,
42826,9,PSP-IM,Large WHEY PROTEIN Stick Film,Iced Mocha,SPEC-STICK-LG,55000,0.0749,4119.5,FALSE,,Ordered,,,,,
42826,10,PSP-MD,Large WHEY PROTEIN Stick Film,Maple Donut,SPEC-STICK-LG,55000,0.0749,4119.5,FALSE,,Ordered,,,,,
42826,11,PSP-MC,Large WHEY PROTEIN Stick Film,Mint Chocolate,SPEC-STICK-LG,55000,0.0749,4119.5,FALSE,,Ordered,,,,,
42826,12,PSP-NE,Large WHEY PROTEIN Stick Film,Neapolitan,SPEC-STICK-LG,25000,0.0749,1872.5,FALSE,,Ordered,,,,,
42826,13,PSP-OC,Large WHEY PROTEIN Stick Film,Orange Cream,SPEC-STICK-LG,35000,0.0749,2621.5,FALSE,,Ordered,,,,,
42826,14,PSP-PC,Large WHEY PROTEIN Stick Film,Peach Cobbler,SPEC-STICK-LG,35000,0.0749,2621.5,FALSE,,Ordered,,,,,
42826,15,PSP-PS,Large WHEY PROTEIN Stick Film,Pumpkin Spice,SPEC-STICK-LG,35000,0.0749,2621.5,FALSE,,Ordered,,,,,
42826,16,PSP-RC,Large WHEY PROTEIN Stick Film,Raspberry Cheescake,SPEC-STICK-LG,55000,0.0749,4119.5,FALSE,,Ordered,,,,,
42826,17,PSP-SD,Large WHEY PROTEIN Stick Film,Snickerdoodle,SPEC-STICK-LG,35000,0.0749,2621.5,FALSE,,Ordered,,,,,
42826,18,PSP-SS,Large WHEY PROTEIN Stick Film,Strawberry Shortcake,SPEC-STICK-LG,56000,0.0749,4194.4,FALSE,,Ordered,,,,,
42826,19,PSP-SC,Large WHEY PROTEIN Stick Film,Sugar Cookie,SPEC-STICK-LG,35000,0.0749,2621.5,FALSE,,Ordered,,,,,
42826,20,PSP-VB,Large WHEY PROTEIN Stick Film,Vanilla Bean,SPEC-STICK-LG,55000,0.0749,4119.5,FALSE,,Ordered,,,,,
