sku,gtin,gtin_valid,product_line,format,flavor,base_flavor,spec_id,eyemark_color,dieline_required,status,shopify_sku,shopify_variant_id,mrp_formula_id,formula_rev,artwork_version,artwork_status,nfp_version,nfp_last_reviewed,data_quality_flag,notes
PP-AP-01,850046726156,TRUE,Whey Protein,Pouch,Apple Pie Whey Protein Pouch,Apple Pie,SPEC-POUCH-LG,,TRUE,Active,,,,,,Unknown,,,,
PP-CM-02,850046726163,TRUE,Whey Protein,Pouch,Chocolate Mousse Whey Protein Pouch,Chocolate Mousse,SPEC-POUCH-LG,,TRUE,Active,,,,,,Unknown,,,,
PP-CPB-17,850046726637,TRUE,Whey Protein,Pouch,Chocolate Peanut Butter Whey Protein Pouch,Chocolate Peanut Butter,SPEC-POUCH-LG,,TRUE,Active,,,,,,Unknown,,,,
PP-CNC-03,850046726170,TRUE,Whey Protein,Pouch,Coconut Cream Whey Protein Pouch,Coconut Cream,SPEC-POUCH-LG,,TRUE,Active,,,,,,Unknown,,,,
PP-CC-04,850046726187,TRUE,Whey Protein,Pouch,Cookie Crumble Whey Protein Pouch,Cookie Crumble,SPEC-POUCH-LG,,TRUE,Active,,,,,,Unknown,,,,
PP-GD-05,850046726194,TRUE,Whey Protein,Pouch,Glazed Donut Whey Protein Pouch,Glazed Donut,SPEC-POUCH-LG,,TRUE,Active,,,,,,Unknown,,,,
PP-H-06,850046726200,TRUE,Whey Protein,Pouch,Horchata Whey Protein Pouch,Horchata,SPEC-POUCH-LG,,TRUE,Active,,,,,,Unknown,,,,
PP-IM-07,850046726217,TRUE,Whey Protein,Pouch,Iced Mocha Whey Protein Pouch,Iced Mocha,SPEC-POUCH-LG,,TRUE,Active,,,,,,Unknown,,,,
PP-MD-08,850046726224,TRUE,Whey Protein,Pouch,Maple Donut Whey Protein Pouch,Maple Donut,SPEC-POUCH-LG,,TRUE,Active,,,,,,Unknown,,,,
PP-N-09,850046726231,TRUE,Whey Protein,Pouch,Neapolitan Whey Protein Pouch,Neapolitan,SPEC-POUCH-LG,,TRUE,Active,,,,,,Unknown,,,,
PP-OC-10,850046726248,TRUE,Whey Protein,Pouch,Orange Cream Whey Protein Pouch,Orange Cream,SPEC-POUCH-LG,,TRUE,Active,,,,,,Unknown,,,,
PP-PC-11,850046726255,TRUE,Whey Protein,Pouch,Peach Cobbler Whey Protein Pouch,Peach Cobbler,SPEC-POUCH-LG,,TRUE,Active,,,,,,Unknown,,,,
PP-RC-12,850046726262,TRUE,Whey Protein,Pouch,Raspberry Cheesecake Whey Protein Pouch,Raspberry Cheesecake,SPEC-POUCH-LG,,TRUE,Active,,,,,,Unknown,,,,
PP-SD-13,850046726279,TRUE,Whey Protein,Pouch,Snickerdoodle Whey Protein Pouch,Snickerdoodle,SPEC-POUCH-LG,,TRUE,Active,,,,,,Unknown,,,,
PP-SS-14,850046726286,TRUE,Whey Protein,Pouch,Strawberry Shortcake Whey Protein Pouch,Strawberry Shortcake,SPEC-POUCH-LG,,TRUE,Active,,,,,,Unknown,,,,
