flavor,sku,gtin/barcode,packaging type,material,zipper,print,trim length,trim width,gusset dimension,front panel dimension,wind direction,pms spot colors,hex spot colors,eye mark color,die line required
Apple Pie Whey Protein Pouch,PP-AP-01,850046726156,Pouch,Karess Soft Touch Matte PET/White 48ga METPET/3.0mil Clear LLDPE,Aplix,CMYK,254mm,254mm,76.2mm,,,"PMS 361 C, PMS 367 C, PMS 9121 C","HEX 36AD2D, HEX 9FD560, HEX EDEDB2",,TRUE
Chocolate Mousse Whey Protein Pouch,PP-CM-02,850046726163,Pouch,Karess Soft Touch Matte PET/White 48ga METPET/3.0mil Clear LLDPE,Aplix,CMYK,254mm,254mm,76.2mm,,,"PMS 4625 C, PMS 7516 C, PMS 727 C","HEX 4E2CID, HEX 98552A, HEX DAB38D",,TRUE
Chocolate Peanut Butter Whey Protein Pouch,PP-CPB-17,850046726637,Pouch,Karess Soft Touch Matte PET/White 48ga METPET/3.0mil Clear LLDPE,Aplix,CMYK,254mm,254mm,76.2mm,,,"PMS 4695 C, PMS 715 C, PMS 7506 C","HEX 5C3327, HEX F88D2A, HEX F2DAB2",,TRUE
Coconut Cream Whey Protein Pouch,PP-CNC-03,850046726170,Pouch,Karess Soft Touch Matte PET/White 48ga METPET/3.0mil Clear LLDPE,Aplix,CMYK,254mm,254mm,76.2mm,,,"PMS 9081 C, PMS 7516 C, PMS 4625 C","HEX DED8D4, HEX 9B552B, HEX 502C1E",,TRUE
Cookie Crumble Whey Protein Pouch,PP-CC-04,850046726187,Pouch,Karess Soft Touch Matte PET/White 48ga METPET/3.0mil Clear LLDPE,Aplix,CMYK,254mm,254mm,76.2mm,,,"PMS 298 C, PMS 285 C, PMS 648 C","HEX 3CB4E5, HEX 0071CE, HEX 002D5D",,TRUE
Glazed Donut Whey Protein Pouch,PP-GD-05,850046726194,Pouch,Karess Soft Touch Matte PET/White 48ga METPET/3.0mil Clear LLDPE,Aplix,CMYK,254mm,254mm,76.2mm,,,"PMS 177 C, PMS 9160 C, PMS 4625 C","HEX FF8189, HEX F4E3BF, HEX 502C1E",,TRUE
Horchata Whey Protein Pouch,PP-H-06,850046726200,Pouch,Karess Soft Touch Matte PET/White 48ga METPET/3.0mil Clear LLDPE,Aplix,CMYK,254mm,254mm,76.2mm,,,"PMS --, PMS 721 C, PMS 4625 C","HEX FFFFFF, HEX DEA36D, HEX 502C1E",,TRUE
Iced Mocha Whey Protein Pouch,PP-IM-07,850046726217,Pouch,Karess Soft Touch Matte PET/White 48ga METPET/3.0mil Clear LLDPE,Aplix,CMYK,254mm,254mm,76.2mm,,,"PMS 7567 C, PMS 728 C, PNS 9160 C","HEX 895334, HEX 9FD560, HEX EDEDB2",,TRUE
Maple Donut Whey Protein Pouch,PP-MD-08,850046726224,Pouch,Karess Soft Touch Matte PET/White 48ga METPET/3.0mil Clear LLDPE,Aplix,CMYK,254mm,254mm,76.2mm,,,"PMS 1685 C, PMS 7565 C, PMS 9160 C","HEX 863A20, HEX CB792E, HEX F4E3BF",,TRUE
Neapolitan Whey Protein Pouch,PP-N-09,850046726231,Pouch,Karess Soft Touch Matte PET/White 48ga METPET/3.0mil Clear LLDPE,Aplix,CMYK,254mm,254mm,76.2mm,,,"PMS 1767 C, CMYK 3 1 17 0, PMS 4625 C","HEX 5C3327, HEX F6F4DA, HEX 502C1E",,TRUE
